GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,OPTAX.id,OPTAX.display-label,CONCENFI.id,CONCENFI.display-label,YEAR.id,ESTAB,RCPTOT,VAL_PCT,PAYANN,PAYQ1T,EMP
0100000US,,United States,811118,Other automotive mechanical and electrical repair and maintenance,T,Establishments subject to federal income tax,850,50 largest firms,2002,410,430784,15.9,124602,29423,3842
0100000US,,United States,8111181,Carburetor repair,A,All establishments,001,All firms,2002,441,167457,100.0,46913,11377,1811
0100000US,,United States,8111181,Carburetor repair,A,All establishments,804,4 largest firms,2002,5,30617,18.3,7435,1597,169
0100000US,,United States,8111181,Carburetor repair,A,All establishments,808,8 largest firms,2002,9,37824,22.6,9381,2084,244
0100000US,,United States,8111181,Carburetor repair,A,All establishments,820,20 largest firms,2002,26,54798,32.7,15007,3404,413
0100000US,,United States,8111181,Carburetor repair,A,All establishments,850,50 largest firms,2002,59,81074,48.4,22885,5239,677
0100000US,,United States,8111181,Carburetor repair,T,Establishments subject to federal income tax,001,All firms,2002,441,167457,100.0,46913,11377,1811
0100000US,,United States,8111181,Carburetor repair,T,Establishments subject to federal income tax,804,4 largest firms,2002,5,30617,18.3,7435,1597,169
0100000US,,United States,8111181,Carburetor repair,T,Establishments subject to federal income tax,808,8 largest firms,2002,9,37824,22.6,9381,2084,244
0100000US,,United States,8111181,Carburetor repair,T,Establishments subject to federal income tax,820,20 largest firms,2002,26,54798,32.7,15007,3404,413
0100000US,,United States,8111181,Carburetor repair,T,Establishments subject to federal income tax,850,50 largest firms,2002,59,81074,48.4,22885,5239,677
0100000US,,United States,8111182,"Brake, front end, and wheel alignment",A,All establishments,001,All firms,2002,2892,1314529,100.0,386098,93478,14217
0100000US,,United States,8111182,"Brake, front end, and wheel alignment",A,All establishments,804,4 largest firms,2002,244,158122,12.0,44790,10707,1502
0100000US,,United States,8111182,"Brake, front end, and wheel alignment",A,All establishments,808,8 largest firms,2002,253,191674,14.6,52764,12743,1724
0100000US,,United States,8111182,"Brake, front end, and wheel alignment",A,All establishments,820,20 largest firms,2002,318,256201,19.5,73079,17499,2326
0100000US,,United States,8111182,"Brake, front end, and wheel alignment",A,All establishments,850,50 largest firms,2002,395,349028,26.6,99939,23845,3168
0100000US,,United States,8111182,"Brake, front end, and wheel alignment",T,Establishments subject to federal income tax,001,All firms,2002,2892,1314529,100.0,386098,93478,14217
0100000US,,United States,8111182,"Brake, front end, and wheel alignment",T,Establishments subject to federal income tax,804,4 largest firms,2002,244,158122,12.0,44790,10707,1502
0100000US,,United States,8111182,"Brake, front end, and wheel alignment",T,Establishments subject to federal income tax,808,8 largest firms,2002,253,191674,14.6,52764,12743,1724
0100000US,,United States,8111182,"Brake, front end, and wheel alignment",T,Establishments subject to federal income tax,820,20 largest firms,2002,318,256201,19.5,73079,17499,2326
0100000US,,United States,8111182,"Brake, front end, and wheel alignment",T,Establishments subject to federal income tax,850,50 largest firms,2002,395,349028,26.6,99939,23845,3168
0100000US,,United States,8111183,"Electrical repair, motor vehicle",A,All establishments,001,All firms,2002,1331,454652,100.0,136135,32980,5519
0100000US,,United States,8111183,"Electrical repair, motor vehicle",A,All establishments,804,4 largest firms,2002,13,37082,8.2,14402,3347,442
0100000US,,United States,8111183,"Electrical repair, motor vehicle",A,All establishments,808,8 largest firms,2002,18,56620,12.5,20373,4692,574
0100000US,,United States,8111183,"Electrical repair, motor vehicle",A,All establishments,820,20 largest firms,2002,40,93940,20.7,28953,6712,916
0100000US,,United States,8111183,"Electrical repair, motor vehicle",A,All establishments,850,50 largest firms,2002,73,143197,31.5,45310,10704,1424
0100000US,,United States,8111183,"Electrical repair, motor vehicle",T,Establishments subject to federal income tax,001,All firms,2002,1331,454652,100.0,136135,32980,5519
0100000US,,United States,8111183,"Electrical repair, motor vehicle",T,Establishments subject to federal income tax,804,4 largest firms,2002,13,37082,8.2,14402,3347,442
0100000US,,United States,8111183,"Electrical repair, motor vehicle",T,Establishments subject to federal income tax,808,8 largest firms,2002,18,56620,12.5,20373,4692,574
